person_id,full_name,normalized_name,aliases,primary_role,primary_entity_id,jurisdiction,confidence,evidence_id,review_status,notes
person_4aa5cea3c114182d,Jorge Hernández,JORGE HERNANDEZ,,,,,0.85,evidence_top250_power_registry_row_126_d7621191e7,accepted,"registry_tiers=D; flows=Contracts,Privatization; flow_score=45"
person_ae8093f10cb9500b,José B. Carrión III,JOSE B CARRION,,,,,0.95,evidence_top250_power_registry_row_9_adb1a843ba,accepted,registry_tiers=A; flows=Debt; flow_score=85
person_44d7c54317afb0bf,José González,JOSE GONZALEZ,,,,,0.95,evidence_top250_power_registry_row_11_adc4064349,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_ac8447c1ebd7c13b,José Ortiz,JOSE ORTIZ,,,,,0.95,evidence_top250_power_registry_row_112_ba65ae5d3c,accepted,"registry_tiers=D; flows=Reconstruction,Utilities; flow_score=50"
person_9e124b2b77d10cc3,José R. Pérez-Riera,JOSE R PEREZ RIERA,,,,,0.95,evidence_top250_power_registry_row_7_6e67b2dc10,accepted,"registry_tiers=A; flows=Contracts,Debt; flow_score=80"
person_907296dd99e2bf13,Josue Colón,JOSUE COLON,,,,,0.95,evidence_top250_power_registry_row_111_b9bf9167b9,accepted,"registry_tiers=D; flows=Reconstruction,Utilities; flow_score=50"
person_571734a5af914837,Juan Sabater,JUAN SABATER,,,,,0.95,evidence_top250_power_registry_row_18_c840f4845d,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_c7fecfd48a82ab0a,Juan Saca,JUAN SACA,,,,,0.95,evidence_top250_power_registry_row_118_841a65f36f,accepted,registry_tiers=D; flows=Utilities; flow_score=50
person_090d91b5e053d5aa,Justin Peterson,JUSTIN PETERSON,,,,,0.95,evidence_top250_power_registry_row_16_3b50ff0d55,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_81f9169b90872a8d,Laura Taylor Swain,LAURA TAYLOR SWAIN,,,,,0.95,evidence_top250_power_registry_row_87_2bdb1b6831,accepted,registry_tiers=C; flows=Debt; flow_score=60
person_18b2039c27dfc985,Leon Cooperman,LEON COOPERMAN,,,,,0.85,evidence_top250_power_registry_row_57_6d49bfb5d5,accepted,registry_tiers=B; flows=Debt; flow_score=70
person_3db224357139b5de,Luc Despins,LUC DESPINS,,,,,0.85,evidence_top250_power_registry_row_61_8be2bbb38b,accepted,registry_tiers=B/C; flows=Debt; flow_score=70
person_5d0c409febd51ae5,Luis Fortuño,LUIS FORTUNO,,,,,0.85,evidence_top250_power_registry_row_31_b19aaade5c,accepted,registry_tiers=A; flows=Debt; flow_score=75
person_0cd1fa6213e3794a,Luis Ubiñas,LUIS UBINAS,,,,,0.95,evidence_top250_power_registry_row_19_d6dd98009c,accepted,registry_tiers=A; flows=Debt; flow_score=80
person_df7bfebca478a14e,Manuel Laboy,MANUEL LABOY,,,,,0.85,evidence_top250_power_registry_row_146_f9eb8a130f,accepted,"registry_tiers=D; flows=Contracts,Privatization; flow_score=45"
person_5c5a6630b6036e88,Marc Lasry,MARC LASRY,,,,,0.85,evidence_top250_power_registry_row_45_4c9bb9c4f8,accepted,registry_tiers=B; flows=Debt; flow_score=70
person_365ee146683a6115,Mark Brodsky,MARK BRODSKY,,,,,0.85,evidence_top250_power_registry_row_38_6635dcf9d9,accepted,registry_tiers=B; flows=Debt; flow_score=75
person_84b42d3e4c6ec57e,Martin Bienenstock,MARTIN BIENENSTOCK,,,,,0.95,evidence_top250_power_registry_row_66_269fe1d4fb,accepted,registry_tiers=B/C; flows=Debt; flow_score=70
person_768140b5fa96c154,Natalie Jaresko,NATALIE JARESKO,,,,,0.95,evidence_top250_power_registry_row_23_ca393ab966,accepted,registry_tiers=A; flows=Debt; flow_score=85
person_1a0a11709659afd0,Nicholas Prouty,NICHOLAS PROUTY,,,,,0.85,evidence_top250_power_registry_row_213_c6daf431be,accepted,"registry_tiers=F; flows=Privatization,RealEstate; flow_score=30"
person_58d71c508a2bba6b,Omar Marrero,OMAR MARRERO,,,,,0.95,evidence_top250_power_registry_row_22_0395a54be5,accepted,"registry_tiers=A; flows=Contracts,Debt; flow_score=85"
person_448daf3be1802601,Paul Singer,PAUL SINGER,,,,,0.85,evidence_top250_power_registry_row_46_c602288702,accepted,registry_tiers=B; flows=Debt; flow_score=75
person_9be24fcf5b9cb4ee,Pedro Pierluisi,PEDRO PIERLUISI,,,,,0.95,evidence_top250_power_registry_row_29_2bf7b5304a,accepted,"registry_tiers=A; flows=Debt,Reconstruction; flow_score=85"
person_c19b23e5ca5ef74b,Peter Friedman,PETER FRIEDMAN,,,,,0.95,evidence_top250_power_registry_row_65_e614478415,accepted,registry_tiers=B/C; flows=Debt; flow_score=70
person_e571c45ee3aff079,Ricardo Rosselló,RICARDO ROSSELLO,,,,,0.85,evidence_top250_power_registry_row_27_ed2e2e25c4,accepted,"registry_tiers=A; flows=Debt,Privatization; flow_score=80"
person_f6dc4e3d66a1518d,Robert Mujica,ROBERT MUJICA,,,,,0.95,evidence_top250_power_registry_row_4_3e9f38134f,accepted,"registry_tiers=A; flows=Debt,Fiscal; flow_score=85"
person_9a3b4ceb64e03ead,Seth Klarman,SETH KLARMAN,,,,,0.85,evidence_top250_power_registry_row_39_2428db31ee,accepted,registry_tiers=B; flows=Debt; flow_score=75
person_6c54762fbce7bfba,Steven Tananbaum,STEVEN TANANBAUM,,,,,0.85,evidence_top250_power_registry_row_36_85ab71108d,accepted,registry_tiers=B; flows=Debt; flow_score=75
person_169b72f0a9766e6d,Susheel Kirpalani,SUSHEEL KIRPALANI,,,,,0.95,evidence_top250_power_registry_row_63_6c33601054,accepted,registry_tiers=B/C; flows=Debt; flow_score=70
person_7844ebbba9a82994,Wanda Vázquez Garced,WANDA VAZQUEZ GARCED,,,,,0.85,evidence_top250_power_registry_row_28_b1081bacd0,accepted,registry_tiers=A; flows=Debt; flow_score=75
person_78b47ca3600420ce,Wayne Stensby,WAYNE STENSBY,,,,,0.95,evidence_top250_power_registry_row_116_48df32e389,accepted,registry_tiers=D; flows=Utilities; flow_score=50
person_46b2e7029e5a6b97,Wes Edens,WES EDENS,,,,,0.85,evidence_top250_power_registry_row_128_a6fbe4a16e,accepted,"registry_tiers=D; flows=Contracts,Privatization; flow_score=45"
