source_id,family,required,authentication,intake_mode,refresh_frequency,blocker_type,alignment_status,has_expected_outputs,has_validation_threshold,manual_drop_dir,producer_script,issue
compras_pr,territorial,False,none,scrape,weekly,none,aligned,True,True,,scripts/download_compras.py,
aafaf,territorial,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_aafaf.py,
hacienda,territorial,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_hacienda.py,
cofina,territorial,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_cofina.py,
promesa_creditors,territorial,False,none,scrape,ad_hoc,none,aligned,True,True,,scripts/download_promesa_creditors.py,
pr_act_60_decrees,territorial,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_act60.py,
p3_authority,territorial,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_p3.py,
pr_pensions,territorial,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_pr_pensions.py,
rum_cover_over,territorial,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_rum_coverover.py,
municipal_finance,municipal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_municipal.py,
eqb_epa_icis,territorial,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_eqb.py,
emma_bonds,bonds,True,none,scrape,weekly,none,aligned,True,True,,scripts/download_emma.py,
msrb_rtrs_trades,bonds,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_msrb_trades.py,
lda,lobbying,True,api_key:LDA_API_KEY,api_key,monthly,auth_required,warning,True,True,,scripts/download_lda.py,
pr_cabilderos,lobbying,True,none,static_file,quarterly,none,aligned,True,True,,scripts/ingest_cabilderos.py,
fec,political_finance,True,api_key:FEC_API_KEY,api_key,monthly,auth_required,warning,True,True,,scripts/download_fec.py,
donaciones_pr,political_finance,False,none,static_file,ad_hoc,none,aligned,True,True,,scripts/ingest_fec.py,
follow_the_money,political_finance,False,none,static_file,yearly,none,aligned,True,True,,scripts/ingest_follow_the_money.py,
sba_loans,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_sba.py,
sba_ppp,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_sba.py,
slfrf,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_slfrf.py,
sbir,federal,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_sbir.py,
nih_reporter,federal,False,none,api,monthly,none,aligned,True,True,,scripts/download_nih.py,
usace_civil_works,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_usace_civil.py,
usace_permits,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_usace_permits.py,
epa_grants,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_epa.py,
dot_grants,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_dot.py,
usda_grants,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_usda.py,
doe_grants,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_doe.py,
doj_grants,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_doj_grants.py,
ed_grants,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_ed.py,
hhs_grants,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_hhs.py,
oia_grants,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_oia.py,
haf,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_haf.py,
exim_bank,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_exim.py,
congressional_earmarks,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_earmarks.py,
ofac_sdn,entity_resolution,False,none,scrape,weekly,none,aligned,True,True,,scripts/download_ofac.py,
opencorporates,entity_resolution,False,api_key:OPENCORPORATES_API_TOKEN,api_key,ad_hoc,auth_required,warning,True,True,,scripts/download_opencorporates.py,
pr_corporate_registry,manual_export,False,manual_export,manual_export,ad_hoc,manual_required,warning,True,True,data/manual/pr_corporate_registry/,scripts/ingest_active_contractors.py,
medicaid_fmap,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_medicaid_fmap.py,
ssa,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_ssa.py,
medicare_parts,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_medicare_parts.py,
medicare_advantage,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_medicare_advantage.py,
chip,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_chip.py,
cms_open_payments,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_cms.py,
wic,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_wic.py,
wioa,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_wioa.py,
snap_nap,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_snap_nap.py,
va_benefits,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_va.py,
fdic,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_fdic.py,
ncua,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_ncua.py,
fhlb,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_fhlb.py,
sec_edgar,federal,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_sec.py,
sec_13f_nport,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_sec_holdings.py,
fcc_usf,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_fcc.py,
nfip_claims,federal,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_nfip.py,
lihtc,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_lihtc.py,
nmtc,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_nmtc.py,
nonprofits_irs990,federal,False,none,scrape,yearly,none,aligned,True,True,,scripts/download_nonprofits.py,
gao_ig_audits,federal,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_gao_ig.py,
dol_whd_osha,federal,False,none,scrape,monthly,none,aligned,True,True,,scripts/download_dol.py,
sf133_budget_execution,federal,False,none,scrape,quarterly,none,aligned,True,True,,scripts/download_sf133.py,
research_grants,federal,False,none,scrape,weekly,none,aligned,True,True,,scripts/download_research.py,
grants_gov,federal,False,none,scrape,weekly,none,aligned,True,True,,scripts/download_grants.py,
nara_nextgen_catalog_v3,provenance_archival,False,api_key:NARA_API_KEY,api_key,ad_hoc,auth_required,warning,True,True,,,
nara_catalog_aws_open_data,provenance_archival,False,none,scrape,ad_hoc,none,aligned,True,True,,,
