expected_input,source_system,source_file,source_manifest_path,target_output_path,lineage_path,mapped_rel,mapped_abs,mapping_mode,input_status,row_count,sha256
data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,data/staging/processed/pr_usda_master.csv,data/manifests/r4_8d/11_pr_usda_master.manifest.json,data/staging/processed/pr_usda_master.csv,data/staging/processed/pr_usda_master.csv,data/staging/processed/pr_usda_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/pr_usda_master.csv,r4_9a_validated_manifest_missing_source_file,validated_manifest_record_present_but_source_file_missing,687,e8b54d038af17bd9e440b22dc371411d38a46aee8137d7c82bd263e9bcca1621
data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,data/manifests/r4_8d/12_pr_doe_master.manifest.json,data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,data/staging/processed/pr_doe_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/pr_doe_master.csv,r4_9a_validated_manifest_missing_source_file,validated_manifest_record_present_but_source_file_missing,180,3a5f1f2e5ba100de06a203e0eca9481cdbbe7911055f9e9ad5c0c02f8964f120
data/staging/processed/pr_hud_master.csv,hud_cdbg,data/staging/processed/pr_hud_master.csv,data/manifests/r4_8d/13_pr_hud_master.manifest.json,data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,data/staging/processed/pr_hud_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/pr_hud_master.csv,r4_9a_validated_manifest_missing_source_file,validated_manifest_record_present_but_source_file_missing,619,8d5da1cafe28d93f5010ffcac44047483990af476a1c19b9400547483bf126f5
data/staging/processed/pr_sbir_master.csv,sbir,,,data/staging/processed/pr_sbir_master.csv,data/staging/processed/pr_sbir_master.csv,data/staging/processed/partial/r4_9a_missing/pr_sbir_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_sbir_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,data/manifests/r4_8d/15_pr_epa_master.manifest.json,data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,data/staging/processed/pr_epa_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/pr_epa_master.csv,r4_9a_validated_manifest_missing_source_file,validated_manifest_record_present_but_source_file_missing,631,810c1b2b8bb4b982a671c551d21112d266d4cb3ce6590d6f16a1f37927a4f048
data/staging/processed/pr_usace_civil_master.csv,usace_civil,,,data/staging/processed/pr_usace_civil_master.csv,data/staging/processed/pr_usace_civil_master.csv,data/staging/processed/partial/r4_9a_missing/pr_usace_civil_master.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/pr_usace_civil_master.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,data/staging/processed/pr_wioa_grants.csv,data/manifests/r4_8d/17_pr_wioa_grants.manifest.json,data/staging/processed/pr_wioa_grants.csv,data/staging/processed/pr_wioa_grants.csv,data/staging/processed/pr_wioa_grants.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/pr_wioa_grants.csv,r4_9a_validated_manifest_missing_source_file,validated_manifest_record_present_but_source_file_missing,444,c2387273b96b065630b1df6acb80194809b360e3d051d21a3451506072db930e
data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_expansion,,,data/staging/expansion/expansion_idv_indirect_pr.csv,data/staging/expansion/expansion_idv_indirect_pr.csv,data/staging/processed/partial/r4_9a_missing/expansion_idv_indirect_pr.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/expansion_idv_indirect_pr.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_expansion,,,data/staging/expansion/expansion_dod_upr_2001_2015.csv,data/staging/expansion/expansion_dod_upr_2001_2015.csv,data/staging/processed/partial/r4_9a_missing/expansion_dod_upr_2001_2015.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/expansion_dod_upr_2001_2015.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_expansion,,,data/staging/expansion/expansion_dod_upr_2016_2025.csv,data/staging/expansion/expansion_dod_upr_2016_2025.csv,data/staging/processed/partial/r4_9a_missing/expansion_dod_upr_2016_2025.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/expansion_dod_upr_2016_2025.csv,r4_9a_missing,missing_manual_blocker,0,
data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_expansion,,,data/staging/expansion/expansion_reconstruction_2017_2025.csv,data/staging/expansion/expansion_reconstruction_2017_2025.csv,data/staging/processed/partial/r4_9a_missing/expansion_reconstruction_2017_2025.csv,/Users/jotaele/Documents/GitHub/Contract-Sweeper-worktrees/r4-9a-partial-diagnostic-master-rebuild/data/staging/processed/partial/r4_9a_missing/expansion_reconstruction_2017_2025.csv,r4_9a_missing,missing_manual_blocker,0,
