agency_id,agency_type,canonical_name,jurisdiction,aliases,source_id,evidence_tier,confidence,notes
ENT_MUNI_72069,municipality,Humacao,PR,HUMACAO|MUNICIPIO DE HUMACAO,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72071,municipality,Isabela,PR,ISABELA|MUNICIPIO DE ISABELA,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72073,municipality,Jayuya,PR,JAYUYA|MUNICIPIO DE JAYUYA,pr_municipalities,T1,0.95,region=central
ENT_MUNI_72075,municipality,Juana Diaz,PR,JUANA DIAZ|MUNICIPIO DE JUANA DIAZ,pr_municipalities,T1,0.95,region=south
ENT_MUNI_72077,municipality,Juncos,PR,JUNCOS|MUNICIPIO DE JUNCOS,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72079,municipality,Lajas,PR,LAJAS|MUNICIPIO DE LAJAS,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72081,municipality,Lares,PR,LARES|MUNICIPIO DE LARES,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72083,municipality,Las Marias,PR,LAS MARIAS|MUNICIPIO DE LAS MARIAS,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72085,municipality,Las Piedras,PR,LAS PIEDRAS|MUNICIPIO DE LAS PIEDRAS,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72087,municipality,Loiza,PR,LOIZA|MUNICIPIO DE LOIZA,pr_municipalities,T1,0.95,region=metro
ENT_MUNI_72089,municipality,Luquillo,PR,LUQUILLO|MUNICIPIO DE LUQUILLO,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72091,municipality,Manati,PR,MANATI|MUNICIPIO DE MANATI,pr_municipalities,T1,0.95,region=north
ENT_MUNI_72093,municipality,Maricao,PR,MARICAO|MUNICIPIO DE MARICAO,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72095,municipality,Maunabo,PR,MAUNABO|MUNICIPIO DE MAUNABO,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72097,municipality,Mayaguez,PR,MAYAGUEZ|MUNICIPIO DE MAYAGUEZ,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72099,municipality,Moca,PR,MOCA|MUNICIPIO DE MOCA,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72101,municipality,Morovis,PR,MOROVIS|MUNICIPIO DE MOROVIS,pr_municipalities,T1,0.95,region=north
ENT_MUNI_72103,municipality,Naguabo,PR,NAGUABO|MUNICIPIO DE NAGUABO,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72105,municipality,Naranjito,PR,NARANJITO|MUNICIPIO DE NARANJITO,pr_municipalities,T1,0.95,region=central
ENT_MUNI_72107,municipality,Orocovis,PR,OROCOVIS|MUNICIPIO DE OROCOVIS,pr_municipalities,T1,0.95,region=central
ENT_MUNI_72109,municipality,Patillas,PR,PATILLAS|MUNICIPIO DE PATILLAS,pr_municipalities,T1,0.95,region=south
ENT_MUNI_72111,municipality,Penuelas,PR,PENUELAS|MUNICIPIO DE PENUELAS,pr_municipalities,T1,0.95,region=south
ENT_MUNI_72113,municipality,Ponce,PR,PONCE|MUNICIPIO DE PONCE,pr_municipalities,T1,0.95,region=south
ENT_MUNI_72115,municipality,Quebradillas,PR,QUEBRADILLAS|MUNICIPIO DE QUEBRADILLAS,pr_municipalities,T1,0.95,region=north
ENT_MUNI_72117,municipality,Rincon,PR,RINCON|MUNICIPIO DE RINCON,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72119,municipality,Rio Grande,PR,RIO GRANDE|MUNICIPIO DE RIO GRANDE,pr_municipalities,T1,0.95,region=metro
ENT_MUNI_72121,municipality,Sabana Grande,PR,SABANA GRANDE|MUNICIPIO DE SABANA GRANDE,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72123,municipality,Salinas,PR,SALINAS|MUNICIPIO DE SALINAS,pr_municipalities,T1,0.95,region=south
ENT_MUNI_72125,municipality,San German,PR,SAN GERMAN|MUNICIPIO DE SAN GERMAN,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72127,municipality,San Juan,PR,SAN JUAN|MUNICIPIO DE SAN JUAN|SAN JUAN MUNICIPIO|SJU|RIO PIEDRAS|HATO REY|SANTURCE,pr_municipalities,T1,0.95,region=metro
ENT_MUNI_72129,municipality,San Lorenzo,PR,SAN LORENZO|MUNICIPIO DE SAN LORENZO,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72131,municipality,San Sebastian,PR,SAN SEBASTIAN|MUNICIPIO DE SAN SEBASTIAN,pr_municipalities,T1,0.95,region=west
ENT_MUNI_72133,municipality,Santa Isabel,PR,SANTA ISABEL|MUNICIPIO DE SANTA ISABEL,pr_municipalities,T1,0.95,region=south
ENT_MUNI_72135,municipality,Toa Alta,PR,TOA ALTA|MUNICIPIO DE TOA ALTA,pr_municipalities,T1,0.95,region=metro
ENT_MUNI_72137,municipality,Toa Baja,PR,TOA BAJA|MUNICIPIO DE TOA BAJA,pr_municipalities,T1,0.95,region=metro
ENT_MUNI_72139,municipality,Trujillo Alto,PR,TRUJILLO ALTO|MUNICIPIO DE TRUJILLO ALTO,pr_municipalities,T1,0.95,region=metro
ENT_MUNI_72141,municipality,Utuado,PR,UTUADO|MUNICIPIO DE UTUADO,pr_municipalities,T1,0.95,region=central
ENT_MUNI_72143,municipality,Vega Alta,PR,VEGA ALTA|MUNICIPIO DE VEGA ALTA,pr_municipalities,T1,0.95,region=north
ENT_MUNI_72145,municipality,Vega Baja,PR,VEGA BAJA|MUNICIPIO DE VEGA BAJA,pr_municipalities,T1,0.95,region=north
ENT_MUNI_72147,municipality,Vieques,PR,VIEQUES|MUNICIPIO DE VIEQUES|ISLA VIEQUES,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72149,municipality,Villalba,PR,VILLALBA|MUNICIPIO DE VILLALBA,pr_municipalities,T1,0.95,region=south
ENT_MUNI_72151,municipality,Yabucoa,PR,YABUCOA|MUNICIPIO DE YABUCOA,pr_municipalities,T1,0.95,region=east
ENT_MUNI_72153,municipality,Yauco,PR,YAUCO|MUNICIPIO DE YAUCO,pr_municipalities,T1,0.95,region=south
