person_id,canonical_name,normalized_name,jurisdiction,source_person_id,source_id,evidence_tier,confidence,notes
ENT_PERSON_58d71c508a2bba6b,Omar Marrero,OMAR MARRERO,PR,person_58d71c508a2bba6b,canonical_v1_people,T2,0.95,"registry_tiers=A; flows=Contracts,Debt; flow_score=85"
ENT_PERSON_448daf3be1802601,Paul Singer,PAUL SINGER,PR,person_448daf3be1802601,canonical_v1_people,T2,0.85,registry_tiers=B; flows=Debt; flow_score=75
ENT_PERSON_9be24fcf5b9cb4ee,Pedro Pierluisi,PEDRO PIERLUISI,PR,person_9be24fcf5b9cb4ee,canonical_v1_people,T2,0.95,"registry_tiers=A; flows=Debt,Reconstruction; flow_score=85"
ENT_PERSON_c19b23e5ca5ef74b,Peter Friedman,PETER FRIEDMAN,PR,person_c19b23e5ca5ef74b,canonical_v1_people,T2,0.95,registry_tiers=B/C; flows=Debt; flow_score=70
ENT_PERSON_e571c45ee3aff079,Ricardo Rosselló,RICARDO ROSSELLO,PR,person_e571c45ee3aff079,canonical_v1_people,T2,0.85,"registry_tiers=A; flows=Debt,Privatization; flow_score=80"
ENT_PERSON_f6dc4e3d66a1518d,Robert Mujica,ROBERT MUJICA,PR,person_f6dc4e3d66a1518d,canonical_v1_people,T2,0.95,"registry_tiers=A; flows=Debt,Fiscal; flow_score=85"
ENT_PERSON_9a3b4ceb64e03ead,Seth Klarman,SETH KLARMAN,PR,person_9a3b4ceb64e03ead,canonical_v1_people,T2,0.85,registry_tiers=B; flows=Debt; flow_score=75
ENT_PERSON_6c54762fbce7bfba,Steven Tananbaum,STEVEN TANANBAUM,PR,person_6c54762fbce7bfba,canonical_v1_people,T2,0.85,registry_tiers=B; flows=Debt; flow_score=75
ENT_PERSON_169b72f0a9766e6d,Susheel Kirpalani,SUSHEEL KIRPALANI,PR,person_169b72f0a9766e6d,canonical_v1_people,T2,0.95,registry_tiers=B/C; flows=Debt; flow_score=70
ENT_PERSON_7844ebbba9a82994,Wanda Vázquez Garced,WANDA VAZQUEZ GARCED,PR,person_7844ebbba9a82994,canonical_v1_people,T2,0.85,registry_tiers=A; flows=Debt; flow_score=75
ENT_PERSON_78b47ca3600420ce,Wayne Stensby,WAYNE STENSBY,PR,person_78b47ca3600420ce,canonical_v1_people,T2,0.95,registry_tiers=D; flows=Utilities; flow_score=50
ENT_PERSON_46b2e7029e5a6b97,Wes Edens,WES EDENS,PR,person_46b2e7029e5a6b97,canonical_v1_people,T2,0.85,"registry_tiers=D; flows=Contracts,Privatization; flow_score=45"
